column,dtype,non_null_%,example_or_stats
accommodates,int64,100.0,min=1.00 | mean=2.78 | max=16.00
bathrooms,float64,10.8,min=0.00 | mean=1.17 | max=7.00
bathrooms_text,str,99.7,1 bath | 1 shared bath | 1 private bath
bedrooms,float64,65.6,min=0.00 | mean=1.49 | max=16.00
beds,float64,10.7,min=0.00 | mean=1.82 | max=21.00
amenities,str,100.0,"[""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""TV"", ""Smoke alarm""] | [] | [""Long term stays allowed"", ""Elevator"", ""Microwave"", ""Wifi"", ""Hangers"", ""Essentials"", ""Dishwasher"", ""Gym"", ""Pets allowed"", ""Smoke alarm"", ""Bed linens"", ""Iron"", ""Carbon monoxide alarm"", ""Heating"", ""Self check-in"", ""Shampoo"", ""Kitchen"", ""Crib"", ""TV"", ""Oven"", ""Lockbox"", ""Hot water"", ""High chair"", ""Cooking basics"", ""Coffee maker"", ""Refrigerator"", ""Private entrance"", ""Washer \u2013\u00a0In building"", ""Hair dryer"", ""Air conditioning"", ""Bathtub"", ""Dryer \u2013 In building""]"
price,str,59.1,$55.33 | $59.13 | $165.93
price_quote_checkin_date,str,62.6,2026-04-15 | 2026-04-16 | 2026-04-14
price_quote_checkout_date,str,62.6,2026-05-15 | 2026-05-16 | 2026-04-16
price_quote_total_price,float64,59.1,min=64.57 | mean=5070.87 | max=368372.00
price_quote_price_per_night,float64,59.1,min=4.47 | mean=255.00 | max=15075.00
price_quote_raw,str,62.6,"{""quote"": {""taxes"": null, ""currency"": null, ""date_match"": null, ""service_fee"": null, ""total_price"": null, ""cleaning_fee"": null, ""is_available"": null, ""discount_amount"": null, ""price_per_night"": null, ""nightly_subtotal"": null, ""discounted_subtotal"": null, ""raw_price_line_items"": null, ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-04-15"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-05-15""}} | {""quote"": {""taxes"": null, ""currency"": null, ""date_match"": null, ""service_fee"": null, ""total_price"": null, ""cleaning_fee"": null, ""is_available"": null, ""discount_amount"": null, ""price_per_night"": null, ""nightly_subtotal"": null, ""discounted_subtotal"": null, ""raw_price_line_items"": null, ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-04-16"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-05-16""}} | {""quote"": {""taxes"": null, ""currency"": null, ""date_match"": null, ""service_fee"": null, ""total_price"": null, ""cleaning_fee"": null, ""is_available"": false, ""discount_amount"": null, ""price_per_night"": null, ""nightly_subtotal"": null, ""discounted_subtotal"": null, ""raw_price_line_items"": [], ""returned_checkin_date"": null, ""requested_checkin_date"": ""2026-04-16"", ""returned_checkout_date"": null, ""requested_checkout_date"": ""2026-04-17""}}"
minimum_nights,float64,100.0,min=1.00 | mean=27.85 | max=1124.00
maximum_nights,float64,100.0,min=1.00 | mean=1226647.22 | max=2147483647.00
minimum_minimum_nights,float64,100.0,min=1.00 | mean=27.85 | max=1124.00
maximum_minimum_nights,float64,100.0,min=1.00 | mean=36.22 | max=1124.00
minimum_maximum_nights,float64,100.0,min=1.00 | mean=245835.56 | max=2147483647.00
maximum_maximum_nights,float64,100.0,min=1.00 | mean=1226647.22 | max=2147483647.00
minimum_nights_avg_ntm,float64,100.0,min=1.00 | mean=28.76 | max=1124.00
maximum_nights_avg_ntm,float64,100.0,min=1.00 | mean=418957.43 | max=2147483647.00
calendar_updated,float64,0.0,min=nan | mean=nan | max=nan
has_availability,str,83.9,t | f
availability_30,int64,100.0,min=0.00 | mean=10.37 | max=30.00
availability_60,int64,100.0,min=0.00 | mean=22.44 | max=60.00
availability_90,int64,100.0,min=0.00 | mean=35.05 | max=90.00
availability_365,int64,100.0,min=0.00 | mean=157.04 | max=365.00
calendar_last_scraped,str,100.0,2026-04-15 | 2026-04-14 | 2026-04-16
number_of_reviews,int64,100.0,min=0.00 | mean=28.64 | max=4310.00
number_of_reviews_ltm,int64,100.0,min=0.00 | mean=4.02 | max=1338.00
number_of_reviews_l30d,int64,100.0,min=0.00 | mean=0.25 | max=90.00
availability_eoy,int64,100.0,min=0.00 | mean=114.56 | max=262.00
number_of_reviews_ly,int64,100.0,min=0.00 | mean=3.94 | max=1557.00
estimated_occupancy_l365d,int64,100.0,min=0.00 | mean=46.09 | max=255.00
estimated_revenue_l365d,float64,59.1,min=0.00 | mean=16899.12 | max=1093568.00
first_review,str,70.0,2023-01-01 | 2016-01-02 | 2019-01-01
last_review,str,70.0,2026-03-31 | 2026-03-29 | 2026-03-30
review_scores_rating,float64,70.0,min=0.00 | mean=4.72 | max=5.00
review_scores_accuracy,float64,70.0,min=0.00 | mean=4.76 | max=5.00
review_scores_cleanliness,float64,70.0,min=0.00 | mean=4.66 | max=5.00
review_scores_checkin,float64,70.0,min=0.00 | mean=4.83 | max=5.00
review_scores_communication,float64,70.0,min=0.00 | mean=4.82 | max=5.00
review_scores_location,float64,70.0,min=0.00 | mean=4.75 | max=5.00
review_scores_value,float64,70.0,min=0.00 | mean=4.63 | max=5.00
license,str,14.4,Exempt | OSE-STRREG-0000437 | OSE-STRREG-0001957
instant_bookable,float64,0.0,min=nan | mean=nan | max=nan
calculated_host_listings_count,int64,100.0,min=1.00 | mean=54.83 | max=1090.00
calculated_host_listings_count_entire_homes,int64,100.0,min=0.00 | mean=46.96 | max=1090.00
calculated_host_listings_count_private_rooms,int64,100.0,min=0.00 | mean=7.03 | max=230.00
calculated_host_listings_count_shared_rooms,int64,100.0,min=0.00 | mean=0.07 | max=20.00
reviews_per_month,float64,70.0,min=0.01 | mean=0.78 | max=116.80
